"employee_id","schoolName","fieldOfStudy","degreeName"
"t_4227","Technical University of Munich","Physics","Doctor of Philosophy - PhD"
"t_4227","Ludwig-Maximilians Universität München","Particle Physics","Master of Science in Physics"
"t_4227","Technion - Israel Institute of Technology","urn:li:fs_fieldOfStudy:100892","Bachelor of Science in Physics, Specialized Program for Optics"
"t_4228","Ludwig-Maximilians Universität München","Computerlinguistik","Master of Science"
"t_4228","The Berlin School of Economics and Law","Business Information Systems","Bachelor of Science (B.Sc.)"
"t_4229","Product School","Product Management","Product Management Certificate"
"t_4229","Quantic School of Business and Technology",NA,"Master of Business Administration - MBA"
"t_4229","Technical University Munich",NA,"Master in Informatics"
"t_4230","Hasso Plattner Institute","Artificial Intelligence and Intelligent Systems","Doctor's Degree"
"t_4230","Ludwig-Maximilians-Universität München","Computational Linguistics and Computer Science","Master of Science - MS"
"t_4230","Ludwig-Maximilians-Universität München","Computational Linguistics","Bachelor of Science - BS"
"t_4231","Hochschule für Technik und Wirtschaft Berlin","Informatik und Wirtschaft","Bachelor of Arts - BA"
"t_4231","Goethe-Insitut / Ludwig-Maximilians-Universität München","Deutsch als Fremdsprache","Lehrqualifikation"
"t_4231","Humboldt-Universität zu Berlin","Neuere Deutsche Literatur, Politikwissenschaft, Skandinavistik","Magistra Artium"
"t_4232","University of Tsukuba","Spatial Information Science","2014"
"t_4232","Ludwig-Maximilians-Universität München","Geography, GIS","Dipl.-Geogr. (Univ.)"
"t_4232","Technical University of Munich","Geography, GIS",NA
"t_4233","Ludwig-Maximilians-Universität München","Computer Science","Doctor of Philosophy - PhD"
"t_4233","Ecole polytechnique fédérale de Lausanne","Systèmes de communication","Master of Science (MSc.)"
"t_4233","The Australian National University","Electronics and Communication Systems","Bachelor of Engineering (B.E. Hons)"
"t_4234","Ecole polytechnique fédérale de Lausanne","Data Science","Master's degree"
"t_4234","Ludwig-Maximilians-Universität München","Mathematics","Exchange program"
"t_4234","Высшая Школа Экономики","Computer Science and Business ","Bachelor's degree with Honors"
"t_4235","Ludwig-Maximilians Universität München","Computer Science","Master of Science - MS"
"t_4235","Ludwig-Maximilians Universität München","Computer Science","Bachelor of Science - BS"
"t_4236","Ludwig-Maximilians-Universität München","Statistics with a focus on machine learning","Master of Science - MS"
"t_4237","Massachusetts Institute of Technology","Machine Learning","Visiting Student"
"t_4237","Center for Digital Technology and Management","Technology Management","Honours Degree"
"t_4237","Ludwig-Maximilians Universität München","Data Science","Master of Science (M.Sc.)"
"t_4238","Ludwig-Maximilians-Universität München","Physics","Diplom"
"t_4239","Ludwig-Maximilians-Universität München","Mathematik","Master"
"t_4239","Ludwig-Maximilians-Universität München","Mathematik","Master of Science (M.Sc.)"
"t_4240","IU International University of Applied Sciences","Computer Science in Economics","Master of Science - MS"
"t_4240","Ludwig-Maximilians Universität München","Chinese Studies, Minor: Language Literature Culture","Bachelor of Arts - BA"
"t_4240","Peking University","Chinese Language and Literature, Computer Science","Certificate"
"t_4241","Ludwig-Maximilians-Universität München","Data Science","Master of Science - MS"
"t_4241","Indian Institute Of Information Technology","Information Technology","Bachelor of Technology (B.Tech.)"
"t_4241","Delhi Public School, Bhilai, Chhattisgarh","urn:li:fs_fieldOfStudy:100189","High School"
"t_4242","Ludwig-Maximilians Universität München","Statistics","M.Sc."
"t_4242","Ludwig-Maximilians Universität München","Economics","B.Sc."
"t_4243","LudwigLudwig-Maximilians-Universität München","Data Science","Master"
"t_4243","Moscow State Univercity","Intelligent Data Analysis","Magister"
"t_4243","Moscow State University","Mathematical statistics and fundamental informatics","Bachelor"
"t_4244","Ludwig-Maximilians Universität München","Theoretical Physics of Ultracold Atoms","Doctor of Philosophy - PhD"
"t_4244","Technical University Munich","Physics","Diploma"
"t_4244","Universidad Complutense de Madrid","Physics","Diploma"
"t_4245","Ludwig-Maximilians-Universität München","Statistics and data science","Doctor of Philosophy - PhD"
"t_4245","KTH Royal Institute of Technology","Data Science","Master's degree"
"t_4245","Technische Universiteit Eindhoven","Data Science","Master's degree"
"t_4246","INSA Lyon - Institut National des Sciences Appliquées de Lyon","Biomathematics, Bioinformatics, and Computational Biology","Engineer's degree"
"t_4246","Université Claude Bernard Lyon 1","Data Science","Master en Informatique"
"t_4246","Technical University Munich","Data science",NA
"t_4247","Ludwig-Maximilians Universität München","Statistics","Master's Degree"
"t_4247","Ludwig-Maximilians Universität München","Statistics","Bachelor's Degree"
"t_4248","Ludwig-Maximilians Universität München","Data Science","Master of Science - MS"
"t_4248","Orta Doğu Teknik Üniversitesi / Middle East Technical University","Industrial Engineering","Bachelor of Science - BS"
"t_4248","Universidade de Coimbra","Electrical and Computer Engineering","Bachelor of Science - BS"
"t_4249","LMU Munich – Ludwig-Maximilians-Universität München","Data Science","Master's degree"
"t_4249","NYU Stern School of Business","Operations Management","Doctor of Philosophy - PhD"
"t_4249","Bilkent University","Industrial Engineering","Bachelor of Science - BS"
"t_4250"," Ludwig-Maximilians-Universität München ","Medicine","Medical Doctor"
"t_4250","Tokyo Institute of Technology","Deep Learning / Artificial Intelligence","FrontierLab - Student Exchange Program"
"t_4250","Ludwig Maximilian University of Munich","Japanese Studies (Major), Informatics (Minor)","Bachelor of Arts - BA"
"t_4251","Technische Universität München","Wirtschaftsinformatik","Master of Science (M.Sc.)"
"t_4251","Ludwig-Maximilians Universität München","Computerlinguistik","Bachelor of Science (BSc)"
"t_4251","Technische Universität München","Wirtschaftsinformatik","BS"
"t_4252","Ludwig-Maximilians Universität München","Computational Linguistics / Natural Language Processing (with Computer Science)","Master of Science (MSc)"
"t_4252","University of Limerick, Ireland","Software Localisation","Graduate Diploma"
"t_4252","Friedrich Schiller University Jena","English/American Literature and Linguistics, Psychology, Intercultural Business Communication","Master of Arts (M.A.)"
"t_4253","Ludwig-Maximilians-Universität München","Molecular and Cellular Biology","Master of Science - MS"
"t_4253","York University","Biotechnology","Bachelor of Science - BSc with Honours Thesis "
"t_4253","Seneca College of Applied Arts and Technology","Biotechnology Advanced Diploma",NA
"t_4254","Technical University of Munich","Management & Technology","Master of Science - MS"
"t_4254","Technical University of Munich","Information Systems","Master of Science - MS"
"t_4254","Ludwig-Maximilians-Universität München","Business Administration","Bachelor of Science - BS"
"t_4255","Ludwig-Maximilians Universität München","Physics","Master’s Degree"
"t_4255","edX","Data Science","Microsoft Professional Program"
"t_4255","Yukawa Institute of Theoretical Physics, University of Kyoto, Japan","Statistical Mechanics","Winterschool"
"t_4256","Ludwig-Maximilians Universität München","Computerlinguistik","Bachelor's degree"
"t_4257","Ludwig-Maximilians Universität München","Mensch-Computer-Interaktion","Master of Science (M.Sc.)"
"t_4257","Ludwig-Maximilians Universität München","Medieninformatik","Bachelor of Science (B.Sc.)"
"t_4257","Utrecht University","Game & Media Technologies, Artificial Intelligence","Auslandssemesters"
"t_4258","Ludwig-Maximilians Universität München","Computer Science","Master of Science - MS"
"t_4258","Utrecht University","Computer Science",NA
"t_4258","Ludwig-Maximilians Universität München","Media Computer Science","Bachelor of Science - BS"
"t_4259","Ludwig-Maximilians-Universität München","Applied Linguistics","Doctor of Philosophy - PhD"
"t_4259","Technical University Munich","Informatics","Master’s Degree"
"t_4259","National University of Sciences and Technology (NUST)","Software Engineering","Bachelor’s Degree"
"t_4260","Ludwig-Maximilians-Universität München"," Computer Linguistics","Master of Science - MS"
"t_4260","Ludwig-Maximilians-Universität München","Computational Linguistics","Bachelor's degree"
"t_4260","FTTA Graduate Institute",NA,"Postgraduate Training"
"t_4261","Ludwig-Maximilians Universität München","Informatik","Doctor of Philosophy - PhD"
"t_4261","Ludwig-Maximilians Universität München","Mathematik","Diplom"
"t_4262","Ludwig-Maximilians Universität München","Informatik","Master of Science (MSc)"
"t_4262","San Diego State University-California State University","Informatik",NA
"t_4262","Ludwig-Maximilians Universität München","Informatik","Bachelor of Science (BSc)"
"t_4263","EADIC","Big Data and Business Intelligence","Master's degree"
"t_4263","Pontificia Universidad Javeriana","Industrial Engineering","Engineer's Degree"
"t_4263","Microsoft/edx.org","Analytics","Analytics Storytelling for Impact "
"t_4264","Ludwig-Maximilians-University Munich","Computer Science","Master of Science (M.Sc.)"
"t_4264","University of Passau","Computer Science","Bachelor of Science (B.Sc.)"
"t_4264","Tongji University","Information Management and System",NA
"t_4265","Technical University of Munich","Quantum Science & Technology (Joint with LMU)","Master of Science - MS"
"t_4265","LMU Munich – Ludwig-Maximilians-Universität München","Quantum Science & Technology (Joint with TUM)","Master of Science - MS"
"t_4265","Hacettepe University","Engineering Physics","Bachelor of Science - BS"
"t_4266","ETH Zürich","Physics","Doctor of Sciences"
"t_4266","Udacity","Data Science","Data Scientist Nanodegree"
"t_4266","Udacity","Artificial Intelligence","Machine Learning Introduction Nanodegree"
"t_4267","Ludwig-Maximilians Universität München","Economics","Bachelor’s Degree"
"t_4267","San Diego State University-California State University","Statistics",NA
"t_4267","University of Amsterdam","Econometrics","Master’s Degree"
"t_4268","FernUniversität in Hagen","Applied Computer Science","Master of Science - MS"
"t_4268","FernUniversität in Hagen","Mathematics and Computer Science","Academy Studies"
"t_4268","Universitat Pompeu Fabra","World History","Master of Arts (M.A.)"
"t_4269","Max Planck Society","Medicine","PhD"
"t_4269","Ludwig-Maximilians Universität München","Medicine","PhD"
"t_4269","ETH Zürich","Biomedical Engineering ","MSc"
"t_4270","Ludwig-Maximilians Universität München","Statistik","Master of Science (M.Sc.)"
"t_4270","Technische Universität München","TUM-BWL","Dipl.-Kfm."
"t_4270","University of Warwick","business administration, philosophy","Exchange program"
"t_4271","Ludwig-Maximilians Universität München, Faculty of Biology, Germany","Evolutionary Biology","Doctor of Philosophy - PhD (Dr. rer. nat. )"
"t_4271","Relocating from Cuba to Germany",NA,NA
"t_4271","University of Havana, Faculty of Biology",NA,"Master of Science - MS, Biological Sciences"
"t_4272","Udacity","Computer Programming","Front-end web Nanodegree"
"t_4272","Udacity","Data Science","Data Foundation"
"t_4272","Pluralsight","Information Technology","Mobile Web Specialisst"
"t_4273","Eindhoven University of Technology","Embedded Systems","Master of Science"
"t_4273","Center for Digital Technology and Management","Technology Management","Honours Degree"
"t_4273","Ludwig-Maximilians Universität München","Media Informatics and Human-Computer Interaction","Bachelor of Science (B.S.)"
"t_4274","Seoul National University","Artificial Intelligence - NLP","PhD"
"t_4274","The University of Hong Kong","Data Science - Information Management","Master of Science"
"t_4274","Ludwig-Maximilians Universität München","Machine Learning and Data Analytics",NA
"t_4275","Ludwig-Maximilians Universität München","Computer Science","Dr. rer. nat."
"t_4275","Ludwig-Maximilians Universität München","Computer Science","Diploma"
"t_4276","Technical University of Munich","Computer Science","Master of Science - MS"
"t_4276","UiT- The Arctic University of Norway","Computer Science","Semester Abroad"
"t_4276","Technical University of Munich","Computer Science","Graduate Studies"
"t_4277","Ludwig-Maximilians Universität München","Business Administration and Management, General","Bachelor of Science (BSc)"
"t_4277","Otto-von-Guericke University Magdeburg","Statistics","Master’s Degree"
"t_4278","Ludwig-Maximilians Universität München","Computational Linguistics (NLP)","M.Sc."
"t_4278","Ludwig-Maximilians Universität München","Computational Linguistics","B.Sc."
"t_4278","University of Augsburg","Anwendungsorientierte Interkulturelle Sprachwissenschaft / Applied Intercultural Linguistic, B.A","B.A."
"t_4279","PhD Program at Ludwig Maximilians Universität München","Computational Linguistics, Computer Science, Linguistics","Doctor of Philosophy (PhD)"
"t_4280","Ludwig-Maximilians-Universität München",NA,"Doctor oeconomiae publicae (Dr. oec. publ.)"
"t_4280","Ludwig-Maximilians-Universität München",NA,"Master of Business Research (MBR)"
"t_4280","Ruprecht-Karls-Universität Heidelberg","Economics","Master of Science"
"t_4281","Ludwig-Maximilians Universität München","German Literature, Computer Science, Religious Science","Magister Artium, M.A."
"t_4282","Linköpings universitet","Statistics and Data Mining","Master of Science (M.Sc.)"
"t_4282","Ludwig-Maximilians Universität München","Statistik und Informatik","Bachelor of Science (B.Sc.)"
"t_4282","Ludwig-Maximilians Universität München","Kommunikationswissenschaft","Master of Arts (M.A.)"
"t_4283","Ludwig-Maximilians-Universität München","Computer Science","Msc"
"t_4283","Ludwig-Maximilians-Universität München","Computer Science","B.Sc"
"t_4283","Ludwig-Maximilians Universität München","Philosophy","BA"
"t_4284","Ludwig-Maximilians-Universität München","Computational Linguistics","Doctor of Philosophy - PhD"
"t_4285","The University of Hong Kong","Mechanical Engineering","Master of Philosophy - MPhil"
"t_4285","City University of Hong Kong","Energy and Environment ","Bachelor of Engineering (B.Eng.)"
"t_4285","Ludwig-Maximilians Universität München","Atmospheric Sciences and Meteorology","Exchange "
"t_4286","Ludwig-Maximilians Universität München","Germanistische Linguistik","Master of Arts - MA"
"t_4286","University of Bergen (UiB)","Linguistics","Semester Abroad"
"t_4286","University of Regensburg","Deutsche Philologie / Politikwissenschaften","Bachelor of Arts - BA"
"t_4287","Ludwig-Maximilians-Universität München","Physics","Doctor of Philosophy - PhD"
"t_4287","DataCamp","Data  analysis and statistics using python","Data Scientist with Python track"
"t_4287","Udacity","Front  End Development","Web Development Udacity scolarship"
"t_4288","Ludwig-Maximilians Universität München","Astrophysik","Master of Science - MS"
"t_4288","Justus-Liebig-Universität Giessen","Physik","Bachelor of Science - BS"
"t_4289","Ludwig-Maximilians-Universität München","Computer Science","Dipl.-Inf."
"t_4289","Gymnasium Gröbenzell",NA,"Abitur"
"t_4290","Technische Universiteit Delft","Computer Science and Engineering","Bachelor of Science - BS"
"t_4290","Ludwig-Maximilians-Universität München","Balanced Sustainability in a Changing World","Autumn School"
"t_4290","Leiden University","Science, Business & Innovation","Minor"
"t_4291","Ludwig-Maximilians Universität München","Computer Science / Computational Linguistics","Master of Science - MS"
"t_4291","Ludwig-Maximilians Universität München","Computer science / Computational linguistics","Bachelor of Science - BS"
"t_4291","State University of Kemerowo Siberia / Russia","Language Interpretation and Translation","Bachelor of Arts - BA"
"t_4292","Ludwig-Maximilians Universität München","Elite Master Course - Theoretical and Mathematical Physics","Master of Science (M.Sc.)"
"t_4292","Ludwig-Maximilians Universität München","Physics, Mathematics","Bachelor of Science (B.Sc.)"
"t_4292","DHBW Mannheim","Business Administration - Automotive Commerce ","Bachelor of Arts (B.A.)"
"t_4293","University of Konstanz","Econometrics and Applied Economics","Master's degree"
"t_4293","University of Essex","Applied Economics and Data Analysis","Master's degree"
"t_4293","Ludwig-Maximilians Universität München","Economics","Bachelor of Science"
"t_4294","Ludwig-Maximilians Universität München","Informatics","Master of Science - MS"
"t_4294","Lancaster University","Human Computer Interaction",NA
"t_4294","Ludwig-Maximilians Universität München","Media Informatics","Bachelor of Science (B.Sc.)"
"t_4295","Max-Planck-Institute for Physics","Physik",NA
"t_4295","Ludwig-Maximilians Universität München","Physik","Master of Science - MS"
"t_4295","Technische Universität München","Physik","Bachelor of Science - BS"
"t_4296","Ludwig-Maximilians Universität München","Biophysics","Doctor of Philosophy - PhD"
"t_4296","Ludwig-Maximilians Universität München","Physics","Master of Science - MS"
"t_4296","Ludwig-Maximilians Universität München","Physics","Bachelor of Science - BS"
"t_4297","Technische Universität Kaiserslautern","Computer Science","Dr."
"t_4297","Ludwig-Maximilians Universität München","Computer Science","Master of Science (M.Sc.)"
"t_4297","University of Sydney",NA,NA
"t_4298","Ludwig-Maximilians Universität München","Media informatics",NA
"t_4298","Ludwig-Maximilians Universität München","Computer Science","Bachelor of Science (B.Sc.)"
"t_4298","Ludwig-Maximilians Universität München","Biochemistry","Bachelor of Science (B.Sc.)"
"t_4299","Rochester Institute of Technology","Applied Statistics","Master of Science - MS"
"t_4299","ESMT Berlin",NA,"Master's in Management"
"t_4299","University of Nottingham","Mechanical Engineering","Bachelor of Engineering (BEng) (hons)"
"t_4300","SMU - South Mediterranean University (MSB- MedTech-LCI)","Computer Systems Engineering","Bachelor of Science - BS"
"t_4300","Ludwig-Maximilians Universität München","German Course","Certificate in German "
"t_4300","Instituto Cervantes","Spanish Language ","Certificate in Spanish"
"t_4301","Ludwig-Maximilians Universität München","Computer Science","Master of Dropout"
"t_4301","Ludwig-Maximilians Universität München","Physics","Bachelor of Science"
"t_4302","Columbia University in the City of New York","Data Science (Quantitative Methods in the Social Sciences)","Master of Arts - MA"
"t_4302","Stiftung Bayerische EliteAkademie","Bavarian Elite Academy ","Fellowship"
"t_4302","Ludwig-Maximilians-Universität München",NA,"Graduate Studies"
"t_4303","University of Melbourne","Computer Science","Master of Science - MS"
"t_4303","Ludwig-Maximilians-Universität München","Computer Science","Master of Science - MS"
"t_4303","University of Newcastle","Computer Science","Bachelor of Science - BS"
"t_4304","Technical University of Munich","Computer Science","Master's degree"
"t_4304","University of Helsinki","Computer Science","Erasmus scholarship (Master studies in Computer Science)"
"t_4304","Ludwig-Maximilians Universität München","Bioinformatics","Bachelor of Science (B.Sc.)"
"t_4305","Universität Graz","Angewandte Mathematik","Doktor (Ph.D.)"
"t_4305","Ludwig-Maximilians Universität München","Mathematik","Master of Science - MS"
"t_4305","Ludwig-Maximilians Universität München","Mathematik","Bachelor of Science - BS"
"t_4306","Ludwig-Maximilians Universität München","German Linguistics, Computational Linguistics","Master's degree"
"t_4307","Ludwig-Maximilians Universität München","Informatik (Schwerpunkt: Künstliche Intelligenz)","Bachelor of Science - BS"
"t_4307","Osteopathie Schule Deutschland","Osteopathische Medizin/Osteopathie","Staatsexamen"
"t_4307","Hochschule Fresenius University of Applied Sciences","Therapiewissenschaften - Physiotherapie",NA
"t_4308","London Business School","Business Administration and Management, General","Master of Business Administration (M.B.A.)"
"t_4308","University of Munich","Physics, Computer Science","Diploma"
"t_4308","University of Nottingham","Theoretical and Mathematical Physics",NA
"t_4309","Ludwig-Maximilians-Universität München","Astrophysics","PhD"
"t_4309","Pontificia Universidad Católica de Chile","Industrial Engineering, Mechanical Engineering","Master of Engineering - MEng"
"t_4309","Pontificia Universidad Católica de Chile","Astrophysics","Master's degree"
"t_4310","Ludwig-Maximilians Universität München","Nano/Materials Science/Crystallography/Biomineralization","Doctor of Science (Dr. Rer. Nat.)"
"t_4310","Washington University in St. Louis","Earth Sciences/ Material Science","Visiting Scholar"
"t_4310","Ludwig-Maximilians Universität München","Materials Science","Master's degree"
"t_4311","Ludwig-Maximilians Universität München","Computational Linguistics","Master of Science - MS"
"t_4311","University of Tübingen","Bioinformatics","Bachelor of Science - BS"
"t_4312","Ludwig-Maximilians-Universität München","Computer Science","Master of Science - M.Sc."
"t_4312","Ludwig-Maximilians Universität München","Computer Science","Bachelor of Science - B.Sc."
"t_4313","Ludwig-Maximilians Universität München","Astrophysics","Doctor of Philosophy - PhD"
"t_4313","National Tsing Hua University","Astronomy and Astrophysics","Master of Science - MS"
"t_4313","National Chiao Tung University","Electrophysics","Bachelor of Science - BS"
"t_4314","Ludwig-Maximilians Universität München",NA,"Contemporary German Literary Studies - Magister Artium (Master of Arts)"
"t_4314","University of Kassel in cooperation with Goethe-Institute Munich",NA,"German as a foreign language (distance education degree)"
"t_4314","Solemar Sicilia","Italian Studies","Corso di Lingua Italiana per Stranieri (Avanzato)"
"t_4315","Ludwig-Maximilians University Munich","Physics","Master of Science - MS"
"t_4315","Ludwig-Maximilians University Munich","Physics","Bachelor of Science - BS"
"t_4315","Europa-University Flensburg","Educational sciences","Bachelor of Arts - BA"
"t_4316","Ludwig-Maximilians-Universität München","Statistics with a focus on machine learning","Master of Science - MS"
"t_4317","Ludwig-Maximilians Universität München","Philosophy","M.A."
"t_4318","Ludwig-Maximilians Universität München","Informatik","Diplom"
"t_4319","The University of Edinburgh","Economics","MA (hons)"
"t_4319","Ludwig-Maximilians Universität München","Volkswirtschaftslehre (Economics)","Erasmus Exchange"
"t_4319","Data Science Retreat","Data Science",NA
"t_4320","The University of British Columbia","Web Analytics","UBC Award of Achievement in  Web Analytics"
"t_4320","SAE Institute Zurich","Multimedia Arts, Web-Design & Development","Bachelor of Arts (Honours)"
"t_4320","Ludwig-Maximilians Universität München / LMU Munich","Media Informatics","Diploma (5 years)"
"t_4321","University of Newcastle-upon-Tyne","Computer Science","PhD Computing Science"
"t_4321","Ludwig-Maximilians Universität München / University of Munich","Computer Science","German Diplom / M.Sc. Media Informatics"
"t_4321","Ludwig-Maximilians-Universität München","Media Informatics","Diplom (MSc) of Media Informatics"
"t_4322","Ludwig-Maximilans-University Munich","Computational Linguistics, Computer Science, Roman Languages","Master of Science"
"t_4323","Technical University Munich","Computer Science","Master of Science - MS"
"t_4323","Stanford University","Computer Science","Visiting Student Researcher"
"t_4323","UC Berkeley School of Information","Computer Science",NA
"t_4324","Ludwig-Maximilians Universität München / LMU Munich","Photon Detector/ Particle Astrophysics","Doctor of Philosophy (PhD)"
"t_4324","National Taiwan University","Liquid scintillator R/D for reactor neutrino experiment","Master's Degree"
"t_4324","National Taiwan University","Physics","Bachelor's degree"
"t_4325","Universitat Politècnica de Catalunya","Artificial Intelligence","Master"
"t_4325","Ludwig-Maximilians Universität München","Medieninformatik","Bachelor of Applied Science (B.A.Sc.)"
"t_4326","Technische Universität München","Robotics, Cognition, Intelligence","Master of Science (M.Sc.)"
"t_4326","Ludwig-Maximilians Universität München","Medieninformatik","Bachelor of Science (B.Sc.)"
"t_4327","Stanford University","Statistics","Master of Science - MS"
"t_4327","Tsinghua University","Economics, Sociology","Bachelor's degree"
"t_4327","National Taiwan University",NA,"Exchange"
"t_4328","LMU Munich – Ludwig-Maximilians-Universität München","Computer Science","Master's degree"
"t_4328","LMU Munich – Ludwig-Maximilians-Universität München","Computer Science & Media","Bachelor's degree"
"t_4329","University of Southampton","Data Science","Master's degree"
"t_4329","Ethnikon kai Kapodistriakon Panepistimion Athinon","Mathematics","Bachelor of Science (BSc)"
"t_4329","Ludwig-Maximilians Universität München","Mathematics and Computer Science","Erasmus Scholarship"
"t_4330","Ludwig-Maximilians Universität München","Theoretical and Mathematical Physics","Master’s Degree"
"t_4330","Radboud University Nijmegen","Machine Learning in Neuroscience","Doctor of Philosophy (Ph.D.)"
"t_4331","Ludwig-Maximilians Universität München","Computer Science","Master's degree"
"t_4331","FAU Erlangen-Nürnberg",NA,"Executive MBA"
"t_4332","Faculty of Electrical Engineering and Information Technologies","Telecommunications Engineering",NA
"t_4332","Ludwig-Maximilians Universität München","German language course","B1/2"
"t_4332","Cisco Networking Academy","CISCO CCNA","Course"
"t_4333","Ludwig-Maximilians-Universität München","Informatique","Bachelor's degree"
"t_4333","ESIEA - ÉCOLE D'INGÉNIEUR·E·S D'UN NUMÉRIQUE UTILE","Informatique",NA
"t_4334","Ludwig-Maximilians Universität München","Computational Linguistics","Master of Arts (M.A.)"
"t_4334","The University of Edinburgh","Artificial Intelligence","ERASMUS"
"t_4334","Ruprecht-Karls-Universität Heidelberg","Computational Linguistics","Zwischenprüfung"
"t_4335","Ludwig-Maximilians-Universität München","Statistics and Data Science","Master's degree"
"t_4335","American University of Armenia","Data Science","Bachelor of Science - BS"
"t_4335","PhysMath School",NA,NA
"t_4336","Ludwig-Maximilians-Universität München","Biology",NA
"t_4336","Gisela Gymnasium München","English, Economics, Biology, Math","Abitur"
"t_4337","UCL","Biomathematics, Bioinformatics, and Computational Biology","Doctor of Philosophy (PhD)"
"t_4337","Ludwig-Maximilians Universität München / University of Munich","Bioinformatics","Master of Science (M.Sc.)"
"t_4337","Technische Universität München / Technical University of Munich","Bioinformatics","Master of Science (M.Sc.)"
"t_4338","Center for Digital Technology and Management",NA,"Honours Degree, Technology Management"
"t_4338","Ludwig-Maximilians Universität München","Computational Linguistics","Master of Science - MS"
"t_4338","Ludwig-Maximilians Universität München","Computational Linguistics","Bachelor of Science - BS"
"t_4339","Ludwig-Maximilians Universität München","Philosophy (main subject) | Psychology (minor subject)","Bachelor's degree"
"t_4339","Hochschule für Philosophie München","Philosophy & Leadership","Philosophy & Leadership"
"t_4340","Ludwig-Maximilians Universität München","Physics","Master of Science - MSc"
"t_4340","University of California, Berkeley","Computer Science and Information Science","Visiting Scholar (Courses and Research)"
"t_4340","Center for Digital Technology and Management","Technology and Management","Honours Degree"
"t_4341","ZHAW School of Engineering","Angewandte IT-Sicherheit ","CAS "
"t_4341","Ludwig-Maximilians-Universität München","Computerlinguistik + Sprach-, Literatur- und Kulturwissenschaft","Bachelor of Science - BS"
"t_4342","Ludwig-Maximilians Universität München","Computational Linguistics","Doctor of Philosophy - PhD"
"t_4342","National Technical University of Athens","Electrical and Computer Engineering ","BEng & Meng (5-year joint degree)"
"t_4342","Universitat Politècnica de Catalunya","Automation and Robotics  Engineering",NA
"t_4343","Technische Universität München","Software Engineering - Elite Graduate Program","Master of Science - MS"
"t_4343","Ludwig-Maximilians-Universität München","Software Engineering - Elite Graduate Program","Master of Science - MS"
"t_4343","University of Augsburg","Software Engineering - Elite Graduate Program","Master of Science - MS"
"t_4344","Ludwig-Maximilians-Universität München","Systemic Neuroscience","Doctor of Philosophy - PhD"
"t_4344","Bernstein Center for Computational Neuroscience","Computational Neuroscience","Master's degree"
"t_4344","Humboldt-Universität zu Berlin","Computational Neuroscience","Master of Science - MSc"
"t_4345","Ludwig-Maximilians Universität München","Astrophysics","Doctor of Philosophy (PhD)"
"t_4345","Instituto Superior Técnico","Engineering Physics/Applied Physics","Master's degree"
"t_4346","Ludwig-Maximilians Universität München","Data Science","Master of Science - MS"
"t_4346","M.S. Ramaiah Institute Of Technology","Computer Science","Bachelor's degree"
"t_4347","Ludwig-Maximilians Universität München","Physics","Master of Science (M.Sc.)"
"t_4347","Udacity","Deep Learning Engineer","Nanodegree"
"t_4347","Udacity","Machine Learning Engineer","Nanodegree"
"t_4348","Ludwig-Maximilians-Universität München","Medieninformatik","Master of Science - MS"
"t_4348","Ludwig-Maximilians-Universität München","Medieninformatik & Mensch-Maschine-Interaktion","Bachelor of Science - BS"
"t_4349","Technical University of Munich","Computer Science","M.Sc."
"t_4349","Technical University of Munich","Computer Science","B.Sc."
"t_4349","Ludwig-Maximilians-Universität München","Business Economics","B.Sc."
"t_4350","Ludwig-Maximilians-Universität München","Informatik","Master of Science - MS"
"t_4350","Hochschule München","Business Informatics","Bachelor of Science - BS"
"t_4350","Staatliche Fachoberschule Holzkirchen","Wirtschaftszweig","Allgemeine Hochschulreife"
"t_4351","Ludwig-Maximilians Universität München","Computer Science","Diplom-Informatiker"
"t_4352","Ludwig-Maximilians Universität München","Mathematics and Computer Science","Master's degree"
"t_4353","Ludwig-Maximilians-Universität München","Computer Science","Doctor's Degree"
"t_4353","Ludwig-Maximilians Universität München","Computational Linguistics","Master of Science - MS"
"t_4353","Ludwig-Maximilians Universität München","Phonetics and Speech Processing","Master of Arts - MA"
"t_4354","Ludwig-Maximilians Universität München","Computer Science","Master of Science - MS"
"t_4354","Nanyang Technological University","Computer Science","Master of Science - MS"
"t_4354","Ludwig-Maximilians Universität München","Computer Science plus Mathematics","Bachelor of Science - BS"
"t_4355","Ludwig-Maximilians Universität München","Media informatics",NA
"t_4355","Ludwig-Maximilians Universität München","Computer Science","Bachelor of Science (B.Sc.)"
"t_4355","Ludwig-Maximilians Universität München","Biochemistry","Bachelor of Science (B.Sc.)"
"t_4356","Ludwig-Maximilians Universität München","Physik","Bachelor of Science (B.Sc.)"
"t_4356","Udacity","Data Architect","Nanodegree"
"t_4356","Udacity","Machine Learning Engineer","Nanodegree"
"t_4357","National College of Ireland","Computer Programming, Specific Applications","High Diploma in Computing - Software Design"
"t_4357","Ludwig Maximilian University of Munich",NA,"Competitive Strategy"
"t_4357","University of Sydney","Accounting and Finance","Finance for the Non-Financial Manager Course"
"t_4358","Universitetet i Oslo (UiO)","Modelling and Data Analysis","Master's degree"
"t_4358","Ludwig-Maximilians Universität München",NA,"Master's degree"
"t_4358","Universitetet i Oslo (UiO)","Bachelor in Science","Bachelor's degree"
"t_4359","University of Melbourne","computational psychiatry, ML","PhD"
"t_4359","ETH Zürich","translational neuromodelling unit","lab rotation"
